url,title,color,price,category_name,description,reviews_count,average_rating
https://us.shein.com/Manfinity-Homme-Men-Solid-Button-Up-Shirt-Shorts-Set-p-15637824-cat-9037.html,Manfinity Homme Men Solid Button Up Shirt & Shorts Set,White,15.89,Men Shirt Co-ords,"Color: White
Style: Casual
Pattern Type: Plain
Neckline: Collar
Sleeve Type: Regular Sleeve
Details: Drawstring
Details: Pocket
Details: Button Front
Bottom Type: Shorts
Fit Type: Regular Fit
Number of Pieces: 2 Piece Set
Fabric: Non-Stretch
Care Instructions: Machine wash or professional dry clean
Sheer: No
Pockets: Yes
",1000,4.96
https://us.shein.com/Manfinity-EMRG-Men-s-Slogan-Printed-Short-Sleeve-Slim-Fit-T-Shirt-p-29245035-cat-1980.html,Manfinity EMRG Men's Slogan Printed Short Sleeve Slim Fit T-Shirt,Apricot,6.29,Men T-Shirts,"Color: Apricot
Style: Casual
Pattern Type: Slogan
Neckline: Round Neck
Sleeve Length: Short Sleeve
Sleeve Type: Drop Shoulder
Length: Regular
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Sheer: No
",35,4.97
https://us.shein.com/Manfinity-Basics-Men-3pcs-Solid-Round-Neck-Tee-p-20236286-cat-1980.html,Manfinity Basics Men 3pcs Solid Round Neck Tee,Multicolor,13.03,Men T-Shirts,"Color: Multicolor
Style: Casual
Pattern Type: Plain
Neckline: Round Neck
Sleeve Type: Regular Sleeve
Fit Type: Regular Fit
Fabric: Slight Stretch
Care Instructions: Machine wash or professional dry clean
Sheer: No
",500,4.92
https://us.shein.com/Manfinity-EMRG-Men-Eye-Letter-Graphic-Drop-Shoulder-Tee-p-24561651-cat-1980.html,Manfinity EMRG Men Eye & Letter Graphic Drop Shoulder Tee,Khaki,7.06,Men T-Shirts,"Color: Khaki
Style: Casual
Pattern Type: Figure
Pattern Type: Letter
Neckline: Round Neck
Sleeve Length: Half Sleeve
Sleeve Type: Drop Shoulder
Length: Regular
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Sheer: No
",1000,4.85
https://us.shein.com/Manfinity-Homme-Men-s-Plus-Size-Striped-Zipper-Quarter-Zip-Polo-Shirt-p-27216961-cat-6307.html,Men's Plus Size Solid Color Short Sleeve Polo Shirt,Black,11.43,Men Plus Size Polo Shirts,"Color: Black
Style: Casual
Pattern Type: Plain
Pattern Type: Striped
Details: Zipper
Neckline: Collar
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Length: Regular
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Knitted Fabric
Composition: 95% Polyester
Composition: 5% Elastane
Care Instructions: Machine wash, do not dry clean
Sheer: No
",29,5
https://us.shein.com/Mens-Total-Book-Worm-T-Shirt-Funny-Smart-Reading-Novel-Lovers-Tee-For-Guys-Dark-Heather-Grey-BOOK-S-p-30885071-cat-1980.html,Mens Total Book Worm T Shirt Funny Smart Reading Novel Lovers Tee For Guys (Dark Heather Grey - BOOK) - S,Dark Heather Grey - BOOK,11.99,Men T-Shirts,"Color: Dark Heather Grey - BOOK
Style: Casual
Length: Regular
Features: Great quality
Fabric: Medium Stretch
Material: Composite Fabric
Composition: 100% Cotton
Care Instructions: Machine wash or professional dry clean
Sheer: No
",0,0
https://us.shein.com/Manfinity-LEGND-Men-Plus-Splash-Ink-Print-Tee-p-25765874-cat-6311.html,Manfinity LEGND Men Plus Splash Ink Print Tee,Multicolor,5.45,Men Plus Size T-Shirts,"Color: Multicolor
Style: Casual
Pattern Type: Graphic
Neckline: Round Neck
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Length: Regular
Fit Type: Slim Fit
Fabric: Slight Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Sheer: No
",100,4.89
https://us.shein.com/Men-s-Plus-Size-Bear-Printed-T-shirt-p-26892292-cat-6311.html,Men's Plus Size Bear Printed T-shirt,Khaki,7.97,Men Plus Size T-Shirts,"Color: Khaki
Style: Casual
Pattern Type: Cartoon
Neckline: Shirt Collar
Sleeve Length: Short Sleeve
Sleeve Type: Drop Shoulder
Length: Regular
Fit Type: Loose
Fabric: Slight Stretch
Material: Fabric
Composition: 97% Polyester
Composition: 3% Elastane
Care Instructions: Machine wash or professional dry clean
Pockets: No
Sheer: No
",100,4.88
https://us.shein.com/Manfinity-Hypemode-Men-Slogan-Graphic-Tee-Shorts-p-21041178-cat-1975.html,Manfinity Hypemode Men Slogan Graphic Tee & Shorts,Dark Green,15.29,Men T-Shirt Co-ords,"Color: Dark Green
Style: Casual
Pattern Type: Cartoon
Pattern Type: Slogan
Details: Drawstring
Details: Pocket
Neckline: Round Neck
Top Type: Tee
Bottom Type: Shorts
Sleeve Type: Regular Sleeve
Fit Type: Regular Fit
Fabric: Medium Stretch
Care Instructions: Machine wash or professional dry clean
Sheer: No
",1000,4.91
https://us.shein.com/Men-Solid-Raw-Hem-Skinny-Jeans-p-23123372-cat-1989.html,Men Solid Raw Hem Skinny Jeans,Red,25.89,Men Jeans,"Color: Red
Pattern Type: Plain
Details: Pocket
Details: Raw Hem
Details: Ripped
Type: Skinny
Closure Type: Zipper Fly
Waist Line: Natural
Length: Long
Fit Type: Skinny
Fabric: Non-Stretch
Material: Denim
Composition: 100% Cotton
Care Instructions: Machine wash, do not dry clean
Pockets: Yes
Body: Unlined
Sheer: No
",1000,5
